,0
0,13.471260133333335
1,9.357318333333334
2,12.561013266666668
3,13.772015733333332
4,11.184433666666669
5,11.578484800000002
6,12.367772866666668
7,10.261269599999999
8,5.0000551333333325
9,3.934102466666666
10,4.063249466666666
11,4.0015428
12,2.5863066666666663
13,3.796959733333334
14,3.4211952666666665
15,3.6002869999999993
16,9.042344666666667
17,10.435846466666666
18,10.431538866666667
19,11.314228399999996
20,9.357285599999999
21,9.804540666666666
22,8.598364133333332
23,8.352155666666667
