,Name,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
T-test,ControlH2MathStroopMathDrawAccuracy,3.4133099671003886,14,greater,0.0021001028096003438,[0.58  inf],1.2279298165404398,22.897,0.9979222566940785
T-test,ControlH2StroopMathStroopHanoiAccuracy,4.200511793531173,14,greater,0.00044482859809267497,[21.34   inf],1.3836258640183714,85.592,0.9997039202305567
T-test,ControlH2MathStroopMathHanoiAccuracy,10.017439947686475,14,greater,4.5709479683126606e-08,[24.87   inf],2.8026990234810634,3.063e+05,1.0
T-test,ControlH1DrawHanoiDrawStroopSpeed,1.041183375970762,14,greater,0.15771899273602444,[-11.64    inf],0.2678041598683095,0.834,0.25542065447336704
T-test,ControlH1DrawHanoiDrawMathSpeed,1.629671716418911,14,greater,0.06272810482664586,[-1.63   inf],0.4510155954558186,1.546,0.5066973522994711
T-test,ControlH1HanoiDrawHanoiStroopSpeed,3.7102962172011806,14,greater,0.0011646773127574294,[64.4  inf],0.7906073379652843,37.637,0.896927939168282
T-test,ControlH1HanoiDrawHanoiMathSpeed,4.3814925306476304,14,greater,0.0003133781657766554,[144.09    inf],0.8150073681610936,115.733,0.9120918120580542
T-test,ControlH2StroopMathStroopDrawSpeed,3.0180071716533394,14,greater,0.00460827090307018,[9.33  inf],0.5729022615579599,11.913,0.6789938136979305
T-test,ControlH2MathStroopMathDrawSpeed,2.5244110678280127,14,greater,0.01214620891450693,[5.42  inf],0.43090283322476763,5.423,0.4771960488237006
T-test,ControlH2StroopMathStroopHanoiSpeed,4.420575372353644,14,greater,0.00029067249940996375,[109.05    inf],1.283072362084669,123.5,0.9989215355796994
T-test,ControlH2MathStroopMathHanoiSpeed,4.691744608895608,14,greater,0.00017328022975922943,[125.88    inf],1.319196102979202,193.343,0.9993123141365186
