,PID,Condition,Starting Task,Starting Interruption,a_i_name,a_i_count,a_i_percentage,a_i_time,a_i_times,a_p_name,a_p_count,a_p_correctness,a_p_time,a_p_times,a_p_percentage,a_p_percentage100,a_p_resumption,a_p_resumptions,a_p_interruptions,a_p_movestotal,a_p_moveinterruptedtime,tr_i_name,tr_i_count,tr_i_percentage,tr_i_time,tr_i_times,tr_p_name,tr_p_count,tr_p_correctness,tr_p_time,tr_p_times,tr_p_percentage,tr_p_percentage100,tr_p_resumption,tr_p_resumptions,tr_p_interruptions,tr_p_movestotal,tr_p_moveinterruptedtime,te_i_name,te_i_count,te_i_percentage,te_i_time,te_i_times,te_p_name,te_p_count,te_p_correctness,te_p_time,te_p_times,te_p_percentage,te_p_percentage100,te_p_resumption,te_p_resumptions,te_p_interruptions,te_p_movestotal,te_p_moveinterruptedtime
0,265411-861179,1,2,2,math,8,1.0,4.073436624999999,"[4.073436624999999, 2.15437475, 2.8553710909090904, 2.0156234545454543, 2.6397641764705884, 2.5291368888888894]",math,20,N/A,121.241196,6.0620598,N/A,N/A,?,"[5.1439, 10.0345, 2.972499, 7.751495]",4,11.85,6.4755985,math,9,1.0,4.031236444444445,"[4.031236444444445, 2.5642833333333335, 1.7939128421052628, 2.241800066666667, 3.5814989166666673]",math,20,19.0,18.05293833333333,"[0.95, 0.9625, 0.9625, 0.8125, 0.95]",0.95,0.9,?,?,NA,?,?,math,15,1.0,3.022693,"[3.022693, 1.8738332083333331, 2.591281583333333, 1.8230583333333332, 2.0988634545454548, 2.377496631578948]",math,20,N/A,142.58099389999998,7.129049694999999,N/A,N/A,?,"[2.9319, 3.0997, 3.0249, 2.906099, 6.113799]",5,11.6,?
1,291505-498213,2,1,2,math,20,0.9,2.15437475,"[4.073436624999999, 2.15437475, 2.8553710909090904, 2.0156234545454543, 2.6397641764705884, 2.5291368888888894]",math,20,16.5,6.488548571428572,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.825,0.7,?,?,NA,?,?,stroop,25,0.96,1.8296639200000004,"[1.8296639200000004, 1.791971152, 1.5319549625000004, 1.90661988]",stroop,20,19.25,5.870914473684211,"[0.95, 0.9625, 0.9625, 0.8125, 0.95]",0.9625,0.95,?,?,NA,?,?,math,24,1.0,1.8738332083333331,"[3.022693, 1.8738332083333331, 2.591281583333333, 1.8230583333333332, 2.0988634545454548, 2.377496631578948]",math,20,19.5,6.716273578947368,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",0.975,0.95,?,?,NA,?,?
2,300036-536245,2,2,2,math,11,0.9090909090909091,2.8553710909090904,"[4.073436624999999, 2.15437475, 2.8553710909090904, 2.0156234545454543, 2.6397641764705884, 2.5291368888888894]",math,20,N/A,104.6493686,5.23246843,N/A,N/A,?,"[3.928598, 3.088, 2.634698, 4.474899]",4,16.7,3.53154875,stroop,25,0.96,1.791971152,"[1.8296639200000004, 1.791971152, 1.5319549625000004, 1.90661988]",stroop,20,N/A,149.9910083999999,7.499550419999996,N/A,N/A,?,"[1.980998, 4.862199, 2.047198, 2.074698, 2.407498]",5,16.3,2.6745182,math,12,0.9166666666666666,2.591281583333333,"[3.022693, 1.8738332083333331, 2.591281583333333, 1.8230583333333332, 2.0988634545454548, 2.377496631578948]",math,20,N/A,67.11625199999997,3.355812599999999,N/A,N/A,?,"[5.7158, 2.687499, 2.8215, 3.474899]",4,11.85,2.6745182
3,572674-690884,1,1,1,stroop,22,0.9545454545454546,1.980618545454545,"[1.980618545454545, 1.4374709709677422, 2.5669991874999996]",stroop,20,19.5,8.513799473684212,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.975,0.95,?,?,NA,?,?,stroop,24,0.9583333333333334,1.5319549625000004,"[1.8296639200000004, 1.791971152, 1.5319549625000004, 1.90661988]",stroop,20,N/A,230.99555439999997,11.549777719999998,N/A,N/A,?,"[1.804601, 10.22037, 2.053401, 5.753695]",4,20.4,4.9580167500000005,stroop,30,0.9333333333333333,1.5328173733333335,"[1.5328173733333335, 1.369278818181818, 2.178903857142857]",stroop,20,20.0,8.0816827,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",1.0,1.0,?,?,NA,?,4.9580167500000005
4,595776-649527,2,1,1,stroop,31,0.967741935483871,1.4374709709677422,"[1.980618545454545, 1.4374709709677422, 2.5669991874999996]",stroop,20,19.0,6.2028609999999995,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.95,0.9,?,?,NA,?,?,math,18,0.8333333333333334,2.5642833333333335,"[4.031236444444445, 2.5642833333333335, 1.7939128421052628, 2.241800066666667, 3.5814989166666673]",math,20,19.25,5.938409263157895,"[0.95, 0.9625, 0.9625, 0.8125, 0.95]",0.9625,0.95,?,?,NA,?,?,stroop,33,0.9393939393939394,1.369278818181818,"[1.5328173733333335, 1.369278818181818, 2.178903857142857]",stroop,20,19.0,5.282,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",0.95,0.9,?,?,NA,?,?
5,699683-140095,1,1,2,math,22,1.0,2.0156234545454543,"[4.073436624999999, 2.15437475, 2.8553710909090904, 2.0156234545454543, 2.6397641764705884, 2.5291368888888894]",math,20,17.0,6.871553933333334,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.85,0.75,?,?,NA,?,?,math,19,1.0,1.7939128421052628,"[4.031236444444445, 2.5642833333333335, 1.7939128421052628, 2.241800066666667, 3.5814989166666673]",math,20,N/A,163.55863539999996,8.177931769999997,N/A,N/A,?,"[1.72037, 7.937433, 4.82051, 7.787354]",4,15.5,5.56641675,math,24,0.9583333333333334,1.8230583333333332,"[3.022693, 1.8738332083333331, 2.591281583333333, 1.8230583333333332, 2.0988634545454548, 2.377496631578948]",math,20,17.75,7.039211562499999,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",0.8875,0.8,?,?,NA,?,5.56641675
6,720002-373476,2,1,2,math,17,1.0,2.6397641764705884,"[4.073436624999999, 2.15437475, 2.8553710909090904, 2.0156234545454543, 2.6397641764705884, 2.5291368888888894]",math,20,19.5,7.960977157894735,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.975,0.95,?,?,NA,?,?,stroop,25,0.88,1.90661988,"[1.8296639200000004, 1.791971152, 1.5319549625000004, 1.90661988]",stroop,20,16.25,7.204212615384616,"[0.95, 0.9625, 0.9625, 0.8125, 0.95]",0.8125,0.65,?,?,NA,?,?,math,22,0.8181818181818182,2.0988634545454548,"[3.022693, 1.8738332083333331, 2.591281583333333, 1.8230583333333332, 2.0988634545454548, 2.377496631578948]",math,20,17.25,9.158219666666668,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",0.8625,0.75,?,?,NA,?,?
7,911980-205001,1,1,2,math,18,0.9444444444444444,2.5291368888888894,"[4.073436624999999, 2.15437475, 2.8553710909090904, 2.0156234545454543, 2.6397641764705884, 2.5291368888888894]",math,20,17.5,8.8207091875,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.875,0.8,?,?,NA,?,?,math,15,1.0,2.241800066666667,"[4.031236444444445, 2.5642833333333335, 1.7939128421052628, 2.241800066666667, 3.5814989166666673]",math,20,N/A,195.66048129999996,9.783024064999998,N/A,N/A,?,"[7.882102, 13.11769, 5.338599, 3.9075]",4,17.85,7.56147275,math,19,0.8947368421052632,2.377496631578948,"[3.022693, 1.8738332083333331, 2.591281583333333, 1.8230583333333332, 2.0988634545454548, 2.377496631578948]",math,20,19.5,7.036273999999998,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",0.975,0.95,?,?,NA,?,7.56147275
8,995467-826716,2,1,1,stroop,16,0.9375,2.5669991874999996,"[1.980618545454545, 1.4374709709677422, 2.5669991874999996]",stroop,20,18.0,10.129020176470588,"[0.825, 0.975, 0.95, 0.85, 0.975, 0.875, 0.9]",0.9,0.85,?,?,NA,?,?,math,12,0.8333333333333334,3.5814989166666673,"[4.031236444444445, 2.5642833333333335, 1.7939128421052628, 2.241800066666667, 3.5814989166666673]",math,20,19.0,9.47578527777778,"[0.95, 0.9625, 0.9625, 0.8125, 0.95]",0.95,0.9,?,?,NA,?,?,stroop,21,0.9047619047619048,2.178903857142857,"[1.5328173733333335, 1.369278818181818, 2.178903857142857]",stroop,20,20.0,9.18510725,"[0.975, 1.0, 0.95, 0.8875, 0.8625, 0.975, 1.0]",1.0,1.0,?,?,NA,?,?
