,Name,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power
T-test,H1DrawHanoiDrawStroopResumption Btw Exp and Control,0.5249467294497313,28,greater,0.30187616570606957,[-11.38    inf],0.19168344347211955,0.765,0.12871137558542423
T-test,H1DrawHanoiDrawMathResumption Btw Exp and Control,-0.49927960460713444,28,greater,0.6892585354610321,[-17.84    inf],0.18231113463039186,0.757,0.01649226089756839
T-test,H1HanoiDrawHanoiStroopResumption Btw Exp and Control,-1.0999491871523899,28,greater,0.859639194620254,[-10.84    inf],0.4016446546085571,0.92,0.003275714574405897
T-test,H1HanoiDrawHanoiMathResumption Btw Exp and Control,0.25293702842437116,28,greater,0.4010823362500161,[-5.1  inf],0.09235954406423563,0.706,0.08106102445197427
T-test,H1DrawHanoiDrawStroopInterruption Btw Exp and Control,0.2676236079561652,28,greater,0.39547531266819136,[-6.63   inf],0.09772232466567381,0.708,0.08323498206067348
T-test,H1DrawHanoiDrawMathInterruption Btw Exp and Control,0.7572159540859693,28,greater,0.2276229249635836,[-2.53   inf],0.27649617263712106,0.856,0.182507880754046
T-test,H1HanoiDrawHanoiStroopInterruption Btw Exp and Control,0.5446466031408761,28,greater,0.29515423143421826,[-2.45   inf],0.19887682027254797,0.771,0.13279431113700446
T-test,H1HanoiDrawHanoiMathInterruption Btw Exp and Control,1.3545761565869672,28,greater,0.09319152837785376,[-1.09   inf],0.4946212778808881,1.369,0.37333083283380053
T-test,H1DrawHanoiDrawStroopAccuracy Btw Exp and Control,1.9083025171889862,28,greater,0.0333267290623559,[0.14  inf],0.6968135568055318,2.623,0.5859118430262897
T-test,H1DrawHanoiDrawMathAccuracy Btw Exp and Control,0.5873184534641049,28,greater,0.2808482582575701,[-0.76   inf],0.21445837693422568,0.785,0.14194151869516503
T-test,H1HanoiDrawHanoiStroopAccuracy Btw Exp and Control,3.129695868841834,28,greater,0.0020327340542390694,[14.71   inf],1.142803350330268,20.257,0.9204109108030727
T-test,H1HanoiDrawHanoiMathAccuracy Btw Exp and Control,0.5784341338864817,28,greater,0.2837974765213165,[-12.19    inf],0.21121428210705961,0.782,0.14000275615793734
T-test,H1DrawHanoiDrawStroopSpeed Btw Exp and Control,0.19359262740724578,28,greater,0.42394621814366285,[-31.62    inf],0.07069003266509426,0.699,0.07271130311703844
T-test,H1DrawHanoiDrawMathSpeed Btw Exp and Control,-0.6179161492997332,28,greater,0.7291878150566293,[-39.01    inf],0.2256310757454626,0.796,0.012284690957246491
T-test,H1HanoiDrawHanoiStroopSpeed Btw Exp and Control,2.4710906934854533,28,greater,0.00991021773411108,[36.44   inf],0.902314742975378,6.134,0.7781079277213965
T-test,H1HanoiDrawHanoiMathSpeed Btw Exp and Control,0.031218632390040302,28,greater,0.48765832585850855,[-157.36     inf],0.011399432782990994,0.689,0.05322245614960697
